20,1,↑
28,2,↓
76,4,→
77,4,→
4,1,↑
52,3,←
33,2,↓
37,2,↓
40,2,↓
78,4,→
74,4,→
17,1,↑
73,4,→
32,2,↓
30,2,↓
66,4,→
43,3,←
79,4,→
15,1,↑
11,1,↑
72,4,→
48,3,←
2,1,↑
60,3,←
70,4,→
41,3,←
42,3,←
21,2,↓
10,1,↑
16,1,↑
65,4,→
64,4,→
67,4,→
69,4,→
49,3,←
24,2,↓
53,3,←
9,1,↑
71,4,→
29,2,↓
59,3,←
27,2,↓
61,4,→
80,4,→
35,2,↓
1,1,↑
46,3,←
55,3,←
38,2,↓
57,3,←
58,3,←
54,3,←
56,3,←
51,3,←
8,1,↑
25,2,↓
13,1,↑
63,4,→
75,4,→
18,1,↑
7,1,↑
62,4,→
39,2,↓
6,1,↑
23,2,↓
26,2,↓
3,1,↑
47,3,←
31,2,↓
36,2,↓
44,3,←
45,3,←
12,1,↑
22,2,↓
34,2,↓
14,1,↑
68,4,→
19,1,↑
50,3,←
5,1,↑
