1,2,2
2,2,2
3,2,2
4,2,2
5,2,2
6,3,3
7,3,3
8,3,3
9,3,3
10,3,3
11,6,6
12,6,6
13,6,6
14,6,6
15,6,6
16,7,7
17,7,7
18,7,7
19,7,7
20,7,7
21,2,3
22,2,3
23,2,3
24,2,3
25,2,3
26,2,1
27,2,1
28,2,1
29,2,1
30,2,1
31,3,2
32,3,2
33,3,2
34,3,2
35,3,2
36,3,4
37,3,4
38,3,4
39,3,4
40,3,4
41,6,7
42,6,7
43,6,7
44,6,7
45,6,7
46,6,5
47,6,5
48,6,5
49,6,5
50,6,5
51,7,6
52,7,6
53,7,6
54,7,6
55,7,6
56,7,8
57,7,8
58,7,8
59,7,8
60,7,8
61,2,4
62,2,4
63,2,4
64,2,4
65,2,4
66,2,4
67,2,4
68,2,4
69,2,4
70,2,4
71,3,1
72,3,1
73,3,1
74,3,1
75,3,1
76,3,1
77,3,1
78,3,1
79,3,1
80,3,1
81,6,8
82,6,8
83,6,8
84,6,8
85,6,8
86,6,8
87,6,8
88,6,8
89,6,8
90,6,8
91,7,5
92,7,5
93,7,5
94,7,5
95,7,5
96,7,5
97,7,5
98,7,5
99,7,5
100,7,5
